fraction,sample,buffer,mixing,wash,width,height,chip_area
3/512,1,19,8,3,2,10,20
5/512,1,15,8,2,2,8,16
7/512,2,26,13,4,2,14,28
9/512,2,26,13,4,2,14,28
11/512,1,15,8,2,2,8,16
13/512,2,26,12,4,2,14,28
15/512,2,26,12,4,2,14,28
17/512,2,22,12,3,2,12,24
19/512,2,22,12,3,2,12,24
21/512,1,11,8,1,2,6,12
23/512,2,22,13,3,2,12,24
25/512,3,29,16,4,2,16,32
27/512,2,18,11,2,2,10,20
29/512,2,18,11,2,2,10,20
31/512,3,25,14,3,2,14,28
33/512,3,25,14,3,2,14,28
35/512,2,18,11,2,2,10,20
37/512,2,18,11,2,2,10,20
39/512,3,29,16,4,2,16,32
41/512,2,22,13,3,2,12,24
43/512,1,11,8,1,2,6,12
45/512,2,22,12,3,2,12,24
47/512,2,22,12,3,2,12,24
49/512,3,29,14,4,2,16,32
51/512,3,29,14,4,2,16,32
53/512,2,18,10,2,2,10,20
55/512,3,29,15,4,2,16,32
57/512,3,29,15,4,2,16,32
59/512,2,18,10,2,2,10,20
61/512,3,25,12,3,2,14,28
63/512,3,25,12,3,2,14,28
65/512,3,21,12,2,2,12,24
67/512,3,21,12,2,2,12,24
69/512,2,14,10,1,2,8,16
71/512,3,21,15,2,2,12,24
73/512,3,21,15,2,2,12,24
75/512,2,14,10,1,2,8,16
77/512,3,21,14,2,2,12,24
79/512,3,21,14,2,2,12,24
81/512,2,14,12,1,2,8,16
83/512,2,14,12,1,2,8,16
85/512,1,7,8,0,2,4,8
87/512,2,14,13,1,2,8,16
89/512,3,21,16,2,2,12,24
91/512,2,14,11,1,2,8,16
93/512,2,14,11,1,2,8,16
95/512,3,21,14,2,2,12,24
97/512,4,24,15,3,2,14,28
99/512,3,17,12,2,2,10,20
101/512,3,17,12,2,2,10,20
103/512,5,27,18,4,2,16,32
105/512,4,20,15,3,2,12,24
107/512,2,10,9,1,2,6,12
109/512,3,17,13,2,2,10,20
111/512,3,17,13,2,2,10,20
113/512,3,17,13,2,2,10,20
115/512,3,17,13,2,2,10,20
117/512,2,10,9,1,2,6,12
119/512,4,20,15,3,2,12,24
121/512,5,23,16,4,2,14,28
123/512,3,13,10,2,2,8,16
125/512,3,13,10,2,2,8,16
127/512,4,16,11,3,2,10,20
129/512,6,14,12,3,2,10,20
131/512,6,14,12,3,2,10,20
133/512,5,11,11,2,2,8,16
135/512,9,19,18,4,2,14,28
137/512,9,19,18,4,2,14,28
139/512,5,11,11,2,2,8,16
141/512,9,19,17,4,2,14,28
143/512,9,19,17,4,2,14,28
145/512,8,16,16,3,2,12,24
147/512,8,16,16,3,2,12,24
149/512,4,8,10,1,2,6,12
151/512,8,16,17,3,2,12,24
153/512,11,21,21,4,2,16,32
155/512,7,13,14,2,2,10,20
157/512,7,13,14,2,2,10,20
159/512,10,18,18,3,2,14,28
161/512,10,18,18,3,2,14,28
163/512,7,13,14,2,2,10,20
165/512,7,13,14,2,2,10,20
167/512,11,21,21,4,2,16,32
169/512,8,16,17,3,2,12,24
171/512,4,8,10,1,2,6,12
173/512,8,16,16,3,2,12,24
175/512,8,16,16,3,2,12,24
177/512,11,21,19,4,2,16,32
179/512,11,21,19,4,2,16,32
181/512,7,13,13,2,2,10,20
183/512,11,21,20,4,2,16,32
185/512,11,21,20,4,2,16,32
187/512,7,13,13,2,2,10,20
189/512,10,18,16,3,2,14,28
191/512,10,18,16,3,2,14,28
193/512,9,15,15,2,2,12,24
195/512,9,15,15,2,2,12,24
197/512,6,10,12,1,2,8,16
199/512,9,15,18,2,2,12,24
201/512,9,15,18,2,2,12,24
203/512,6,10,12,1,2,8,16
205/512,9,15,17,2,2,12,24
207/512,9,15,17,2,2,12,24
209/512,6,10,14,1,2,8,16
211/512,6,10,14,1,2,8,16
213/512,3,5,9,0,2,4,8
215/512,6,10,15,1,2,8,16
217/512,9,15,19,2,2,12,24
219/512,6,10,13,1,2,8,16
221/512,6,10,13,1,2,8,16
223/512,9,15,17,2,2,12,24
225/512,11,17,18,3,2,14,28
227/512,8,12,14,2,2,10,20
229/512,8,12,14,2,2,10,20
231/512,13,19,21,4,2,16,32
233/512,10,14,17,3,2,12,24
235/512,5,7,10,1,2,6,12
237/512,8,12,15,2,2,10,20
239/512,8,12,15,2,2,10,20
241/512,8,12,15,2,2,10,20
243/512,8,12,15,2,2,10,20
245/512,5,7,10,1,2,6,12
247/512,10,14,17,3,2,12,24
249/512,12,16,18,4,2,14,28
251/512,7,9,11,2,2,8,16
253/512,7,9,11,2,2,8,16
255/512,9,11,12,3,2,10,20
257/512,11,9,12,3,2,10,20
259/512,11,9,12,3,2,10,20
261/512,9,7,11,2,2,8,16
263/512,16,12,18,4,2,14,28
265/512,16,12,18,4,2,14,28
267/512,9,7,11,2,2,8,16
269/512,16,12,17,4,2,14,28
271/512,16,12,17,4,2,14,28
273/512,14,10,16,3,2,12,24
275/512,14,10,16,3,2,12,24
277/512,7,5,10,1,2,6,12
279/512,14,10,17,3,2,12,24
281/512,19,13,21,4,2,16,32
283/512,12,8,14,2,2,10,20
285/512,12,8,14,2,2,10,20
287/512,17,11,18,3,2,14,28
289/512,17,11,18,3,2,14,28
291/512,12,8,14,2,2,10,20
293/512,12,8,14,2,2,10,20
295/512,19,13,21,4,2,16,32
297/512,14,10,17,3,2,12,24
299/512,7,5,10,1,2,6,12
301/512,14,10,16,3,2,12,24
303/512,14,10,16,3,2,12,24
305/512,19,13,19,4,2,16,32
307/512,19,13,19,4,2,16,32
309/512,12,8,13,2,2,10,20
311/512,19,13,20,4,2,16,32
313/512,19,13,20,4,2,16,32
315/512,12,8,13,2,2,10,20
317/512,17,11,16,3,2,14,28
319/512,17,11,16,3,2,14,28
321/512,15,9,15,2,2,12,24
323/512,15,9,15,2,2,12,24
325/512,10,6,12,1,2,8,16
327/512,15,9,18,2,2,12,24
329/512,15,9,18,2,2,12,24
331/512,10,6,12,1,2,8,16
333/512,15,9,17,2,2,12,24
335/512,15,9,17,2,2,12,24
337/512,10,6,14,1,2,8,16
339/512,10,6,14,1,2,8,16
341/512,5,3,9,0,2,4,8
343/512,10,6,15,1,2,8,16
345/512,15,9,19,2,2,12,24
347/512,10,6,13,1,2,8,16
349/512,10,6,13,1,2,8,16
351/512,15,9,17,2,2,12,24
353/512,18,10,18,3,2,14,28
355/512,13,7,14,2,2,10,20
357/512,13,7,14,2,2,10,20
359/512,21,11,21,4,2,16,32
361/512,16,8,17,3,2,12,24
363/512,8,4,10,1,2,6,12
365/512,13,7,15,2,2,10,20
367/512,13,7,15,2,2,10,20
369/512,13,7,15,2,2,10,20
371/512,13,7,15,2,2,10,20
373/512,8,4,10,1,2,6,12
375/512,16,8,17,3,2,12,24
377/512,19,9,18,4,2,14,28
379/512,11,5,11,2,2,8,16
381/512,11,5,11,2,2,8,16
383/512,14,6,12,3,2,10,20
385/512,16,4,11,3,2,10,20
387/512,16,4,11,3,2,10,20
389/512,13,3,10,2,2,8,16
391/512,23,5,16,4,2,14,28
393/512,23,5,16,4,2,14,28
395/512,13,3,10,2,2,8,16
397/512,23,5,15,4,2,14,28
399/512,23,5,15,4,2,14,28
401/512,20,4,14,3,2,12,24
403/512,20,4,14,3,2,12,24
405/512,10,2,9,1,2,6,12
407/512,20,4,15,3,2,12,24
409/512,27,5,18,4,2,16,32
411/512,17,3,12,2,2,10,20
413/512,17,3,12,2,2,10,20
415/512,24,4,15,3,2,14,28
417/512,24,4,15,3,2,14,28
419/512,17,3,12,2,2,10,20
421/512,17,3,12,2,2,10,20
423/512,27,5,18,4,2,16,32
425/512,20,4,15,3,2,12,24
427/512,10,2,9,1,2,6,12
429/512,20,4,14,3,2,12,24
431/512,20,4,14,3,2,12,24
433/512,27,5,16,4,2,16,32
435/512,27,5,16,4,2,16,32
437/512,17,3,11,2,2,10,20
439/512,27,5,17,4,2,16,32
441/512,27,5,17,4,2,16,32
443/512,17,3,11,2,2,10,20
445/512,24,4,13,3,2,14,28
447/512,24,4,13,3,2,14,28
449/512,21,3,12,2,2,12,24
451/512,21,3,12,2,2,12,24
453/512,14,2,10,1,2,8,16
