fraction,sample,buffer,mixing,wash,width,height,chip_area
3/128,1,15,6,2,2,8,16
5/128,1,11,6,1,2,6,12
7/128,2,18,9,2,2,10,20
9/128,2,18,9,2,2,10,20
11/128,1,11,6,1,2,6,12
13/128,2,18,8,2,2,10,20
15/128,2,18,8,2,2,10,20
17/128,2,14,8,1,2,8,16
19/128,2,14,8,1,2,8,16
21/128,1,7,6,0,2,4,8
23/128,2,14,9,1,2,8,16
25/128,3,17,10,2,2,10,20
27/128,2,10,7,1,2,6,12
29/128,2,10,7,1,2,6,12
31/128,3,13,8,2,2,8,16
33/128,5,11,9,2,2,8,16
35/128,5,11,9,2,2,8,16
37/128,4,8,8,1,2,6,12
39/128,7,13,12,2,2,10,20
41/128,7,13,12,2,2,10,20
43/128,4,8,8,1,2,6,12
45/128,7,13,11,2,2,10,20
47/128,7,13,11,2,2,10,20
49/128,6,10,10,1,2,8,16
51/128,6,10,10,1,2,8,16
53/128,3,5,7,0,2,4,8
55/128,6,10,11,1,2,8,16
57/128,8,12,12,2,2,10,20
59/128,5,7,8,1,2,6,12
61/128,5,7,8,1,2,6,12
63/128,7,9,9,2,2,8,16
65/128,9,7,9,2,2,8,16
67/128,9,7,9,2,2,8,16
69/128,7,5,8,1,2,6,12
71/128,12,8,12,2,2,10,20
73/128,12,8,12,2,2,10,20
75/128,7,5,8,1,2,6,12
77/128,12,8,11,2,2,10,20
79/128,12,8,11,2,2,10,20
81/128,10,6,10,1,2,8,16
83/128,10,6,10,1,2,8,16
85/128,5,3,7,0,2,4,8
87/128,10,6,11,1,2,8,16
89/128,13,7,12,2,2,10,20
91/128,8,4,8,1,2,6,12
93/128,8,4,8,1,2,6,12
95/128,11,5,9,2,2,8,16
97/128,13,3,8,2,2,8,16
99/128,13,3,8,2,2,8,16
101/128,10,2,7,1,2,6,12
103/128,17,3,10,2,2,10,20
105/128,17,3,10,2,2,10,20
107/128,10,2,7,1,2,6,12
109/128,17,3,9,2,2,10,20
111/128,17,3,9,2,2,10,20
113/128,14,2,8,1,2,8,16
115/128,14,2,8,1,2,8,16
117/128,7,1,6,0,2,4,8
119/128,14,2,9,1,2,8,16
121/128,18,2,9,2,2,10,20
123/128,11,1,6,1,2,6,12
125/128,11,1,6,1,2,6,12
127/128,15,1,6,2,2,8,16

